Nom,siren,Descriptif,Profil,Nature (X),Tech (Y),Domaine,Marché Géographique,Client,Distrib.,Biz Model,Date création,Date cessation,APE (ref),Catégorie d'entreprise,Statut juridique,Adresse siège,Département,Nationalité,Soc à Mission,Site web
Doro France,,"Téléphones, smartphones et accessoires adaptés aux besoins spécifiques des personnes âgées.",Produit autonome,Produit,High Tech,Communication,International (Monde),Bénéficiaires,"B2B2C, B2C",Pay to play,1974/01/13,,,,,,,France,No,https://www.doro.com/fr-fr/
Good and Tag,978294122,"Une balise GPS discrète et sécurisée, conçue pour les personnes vulnérables, permet de garantir leur sécurité grâce à des fonctionnalités telles que le bouton SOS, la détection des chutes et la barrière virtuelle, contribuant ainsi au bien-être des aidants et à une meilleure qualité de vie.",Produit autonome,Produit,High Tech,Autonomie,National,Bénéficiaires,"B2B2C, B2C",Pay to play,2023/07/31,,58.29C,,Société à responsabilité limitée (SARL),7 RUE DUGOMMIER 44000 NANTES,44,France,No,https://www.goodandtag.com/
Kokoon,852570845,"Un ensemble de capteurs IoT innovants et un algorithme intelligent détectent les changements de comportements et les urgences, permettant à une personne isolée de rester en sécurité dans son environnement familier tout en étant en lien avec la communauté. Une application mobile informe les proches et les aidants des changements d'habitudes de vie et coordonne la prise en charge de manière optimale, tout en respectant l'intimité et la dignité humaine grâce à un dispositif discret.",Produit autonome,Produit,High Tech,Autonomie,Local,Bénéficiaires,"B2B, B2G",Abonnement,2019/07/01,,62.01Z,PME,Société à responsabilité limitée (SARL),LE CAPITOLE 21 AVENUE DE GRASSE 06800 CAGNES-SUR-MER,06,France,No,https://www.nodeus.solutions/
Kibolt,433034782,"Des solutions de sécurité connectées pour le contrôle des accès, y compris des serrures intelligentes et des clés incopiables, adaptées aux logements, entreprises et collectivités.",Produit autonome,Produit,High Tech,Logement,National,Bénéficiaires,"B2B, B2B2C, B2C",,2000/09/29,,26.30Z,ETI,Société anonyme à conseil d'administration,370 RUE DE MAUNIT 85290 MORTAGNE-SUR-SEVRE,85,France,No,https://kibolt.fr/
Aidie,929319986,Cahier de transmission digital destiné aux sociétés d'aide à la personne et aux familles d'accueil de personnes âgées.,Produit autonome,Produit,High Tech,Communication,National,Soignants,B2B2C,Abonnement,2024/05/24,,96.09Z,,Société par actions simplifiée,26 RUE DE PARADIS 75010 PARIS,75,France,No,aidie.fr
AYDONIE,984329631,"Conception de dispositifs médicaux innovants permettant aux personnes à mobilité réduite de passer de la position allongée à la position debout sans assistance externe, tout en prévenant les troubles musculo-squelettiques des soignants et en augmentant l'autonomie des patients.",Produit autonome,Produit,High Tech,Santé,International (Eu),EMS,"B2B, B2B2C",Pay to play,2024/02/01,,71.12B,,Société par actions simplifiée,14 B RUE LA FAYETTE 25000 BESANCON,25,France,No,www.aydonie.com
Eulabie,911419208,"Conception d'appareils auditifs innovants spécialement adaptés aux téléspectateurs malentendants, permettant une écoute claire de la télévision sans augmenter le volume, tout en réduisant les nuisances sonores pour l'entourage, notamment en EHPAD et résidences seniors.",Produit autonome,Produit,High Tech,Santé,National,Bénéficiaires,B2B2C,Pay to play,2022/03/09,,26.40Z,PME,Société par actions simplifiée,18 ALLEE DES LAURIERS ROSES 84510 CAUMONT-SUR-DURANCE,84,France,No,https://www.eulabie.com/
Thera Trainer,838537264,"Des dispositifs médicaux innovants pour la rééducation de la marche et la mobilisation des personnes à mobilité réduite, incluant des entraîneurs thérapeutiques, des verticalisateurs et des robots de rééducation, basés sur des études médicales et des technologies avancées.",Produit autonome,Produit,High Tech,Santé,International (Monde),Bénéficiaires,"B2B2C, B2C",Pay to play,2018/04/01,,47.74Z,PME,Société à responsabilité limitée (SARL),PARC D'ACTIVITES ECONOMIQUES 62180 VERTON,62,France,No,https://thera-trainer-france.fr/
STORIES EQUIPEMENTS,953681657,"Équipement de solutions de sécurité domestique et de confort pour les personnes âgées ou en situation de handicap, incluant un sol détecteur de chute, d'intrusion, d'errance et du mobilier à hauteur variable, permettant une intervention à domicile et dans les établissements médico-sociaux.",Produit autonome,Produit,High Tech,Autonomie,National,Bénéficiaires,"B2B, B2B2C, B2C",Pay to play,2023/06/15,,74.90B,,Société par actions simplifiée,68 T RUE DES ALPINS 74000 ANNECY,74,France,No,www.stories-equipements.com
Visiomed,514231265,"Spécialisé dans l'électronique médicale nouvelle génération, développe et commercialise des produits innovants pour l'autodiagnostic médical et le bien-être, incluant un thermomètre médical à infrarouge sans contact, ainsi qu'une gamme de produits connectés de santé.",Produit autonome,Produit,High Tech,Santé,National,EMS,B2B,Autre,2009/08/10,,82.11Z,PME,Société anonyme à conseil d'administration,34 RUE LAFFITTE 75009 PARIS,75,France,No,https://www.kleaholding.com/
Visaal,829930908,"Dispositif urinaire breveté, portatif et connecté permettant d'uriner dans des conditions d'hygiène irréprochables pour les personnes hospitalisées, alitées à domicile ou en fauteuil roulant.",Produit autonome,Produit,High Tech,Santé,National,EMS,B2B,Pay to play,2017/06/15,,72.19Z,PME,Société par actions simplifiée,78 BOULEVARD DE CRETEIL 94100 SAINT-MAUR-DES-FOSSES,94,France,No,https://www.visaal.fr/
Prose,831432570,"Plateforme de livre audio permettant aux seniors en perte d’autonomie de continuer à avoir accès à la lecture grâce à une ""boîte à histoire"".",Produit autonome,Produit,High Tech,Lifestyle,National,Bénéficiaires,B2B2C,Abonnement,2017/08/01,,62.01Z,PME,Société par actions simplifiée,33 RUE MARCEAU 94200 IVRY-SUR-SEINE,94,France,No,https://www.prose.audio/
Les flaneuses,843384793,"Des fauteuils mobiles antifatigue sont conçus pour les lieux publics, permettant aux visiteurs de se reposer et de prolonger leur expérience de visite en tout confort.",Produit autonome,Produit,High Tech,Autonomie,International (Monde),Entreprises,"B2B, B2G",Pay to play,2018/10/18,,71.12B,PME,Société par actions simplifiée,APPARTEMENT A13 2 RUE HENRI ZIEGLER 31300 TOULOUSE,31,France,No,https://lesflaneuses.com/
Zoe Care,915399828,"Dispositif logiciel de télésurveillance pour domicile et établissements, utilisant les ondes WiFi environnantes pour assurer la sécurité et le suivi à distance des bénéficiaires.",Produit autonome,Produit,High Tech,Autonomie,National,Bénéficiaires,"B2B, B2B2C, B2C",Pay to play,2022/07/08,,58.29C,PME,Société par actions simplifiée,3 RUE JOLIOT-CURIE 91190 GIF-SUR-YVETTE,91,France,No,https://zoe.care/
Voice senior living,842238487,"Service destiné aux résidences pour seniors et EHPAD permettant aux résidents d'agir de manière autonome dans leurs activités quotidiennes, de favoriser leur vie sociale et de stimuler leurs fonctions cognitives grâce à des enceintes connectées, permettant d'écouter de la musique, de vérifier la météo, d'obtenir des informations sur les activités, de communiquer avec le personnel soignant ou des proches, et de contrôler l'environnement de leur chambre par la voix.",Produit autonome,Produit,High Tech,Autonomie,National,EMS,,Abonnement,2018/09/06,,70.22Z,PME,Société par actions simplifiée,1-3 1 RUE D'ENGHIEN 75010 PARIS,75,France,No,https://www.voice-seniorliving.com/fr
Legrand Care,572162667,Équipement spécialisé dans la conception de matériel pour la téléassistance et la communication dans les établissements hospitaliers et médico-sociaux.,Produit autonome,Produit,High Tech,Autonomie,International (Monde),Entreprises,B2B,Pay to play,1957/01/01,,46.69A,GE,Société par actions simplifiée,5 RUE JEAN NICOT 93500 PANTIN,93,France,No,https://www.legrand.com/legrandcare/fr.html
Urmet,329767594,"Fabrication d'interphones, de solutions de contrôle d'accès, de domotique et de vidéosurveillance, destinés à sécuriser les immeubles d'habitation et les maisons individuelles.",Produit autonome,Produit,High Tech,Vie pratique,International (Eu),Bénéficiaires,B2C,Pay to play,1984/05/02,,46.52Z,ETI,Société anonyme à conseil d'administration,ZAC PARIS NORD 2 94 RUE DE LA BELLE ETOILE 95700 ROISSY-EN-FRANCE,95,France,No,https://www.urmet.fr/
Bonjour Henry,832463194,"Un assistant vocal dédié à l'inclusion numérique des séniors permet d'envoyer des messages, de lancer des visioconférences, de naviguer sur Internet et de gérer un agenda, le tout par simple commande vocale en toute sécurité et confidentialité.",Produit autonome,Produit,High Tech,Communication,National,Proches,"B2B, B2B2C, B2C",Abonnement,2017/10/01,,62.01Z,PME,Société par actions simplifiée,CAP OMEGA CS 39521 ROND-POINT BENJAMIN FRANKLIN 34000 MONTPELLIER,34,France,No,https://www.bonjourhenry.com
Customeez,898114673,"Des objets connectés et des solutions domotiques améliorent la sécurité et la mobilité des seniors, facilitant leur quotidien grâce à des dispositifs tels que des serrures intelligentes, des lampes connectées et des systèmes d’alerte.",Produit autonome,Produit,High Tech,Autonomie,,Proches,B2B2C,Abonnement,2021/03/09,,62.02A,PME,Société par actions simplifiée,65 RUE DE MACAU 33290 PAREMPUYRE,33,France,No,www.customeez.fr
VirtySens,879655884,"Une capsule immersive multisensorielle apporte bien-être et relaxation aux seniors en EHPAD, stimulant simultanément l'ouïe, la vue, le toucher et l'odorat, permettant de voyager dans des lieux familiers ou inconnus avec des effets durables sur le cerveau.",Produit autonome,Produit,High Tech,Lifestyle,National,EMS,B2B,Abonnement,2020/02/04,,47.74Z,PME,Société par actions simplifiée,547 RUE LEONARD DE VINCI 59490 SOMAIN,59,France,No,https://www.virtysens.com
Telegrafik,795378629,"Plateforme globale pour les solutions connectées visant à prévenir la perte d'autonomie, détecter les situations anormales et les chutes, tout en informant et coordonnant les professionnels du soin et de l'accompagnement.",Produit autonome,Produit,High Tech,Autonomie,International (Eu),EMS,B2B,Abonnement,2013/09/16,,62.02A,PME,Société par actions simplifiée,15 CHEMIN DE LA CRABE 31300 TOULOUSE,31,France,No,https://www.telegrafik.eu
Life Plus,814391744,"Développement et commercialisation de solutions de prévention, d'assistance et de télésurveillance médicale pour les établissements spécialisés dans le vieillissement.",Produit autonome,Produit,High Tech,Autonomie,National,Bénéficiaires,B2B2C,Abonnement,2015/10/23,,62.01Z,PME,Société par actions simplifiée,99 BOULEVARD DE LA REINE 78000 VERSAILLES,78,France,No,https://www.lifeplus.io/
G-Activ,726580152,"Un sol intelligent équipé d'un système de détection des chutes, conçu pour améliorer la sécurité et l'autonomie des utilisateurs.",Produit autonome,Produit,High Tech,Autonomie,National,Entreprises,B2B,Pay to play,1965/01/01,,46.73B,ETI,Société par actions simplifiée,BATIMENT B   CAMPUS VERRAZZANO 1 PLACE GIOVANNI DA VERRAZZANO 69009 LYON,69,France,No,https://www.g-activ.com
Domalys,840577241,"Des meubles ergonomiques et des objets connectés améliorant l'autonomie des résidents en EHPAD et le bien-être des soignants, permettant de prévenir et détecter les chutes, réduire les troubles musculo-squelettiques et favoriser le confort des personnes âgées.",Produit autonome,Produit,High Tech,Autonomie,International (Monde),Bénéficiaires,B2C,Abonnement,2018/06/22,,46.69B,PME,Société par actions simplifiée,RUE DU VERCORS 86240 FONTAINE-LE-COMTE,86,France,No,https://www.domalys.com
Binom mobile,892494733,Des solutions de téléphonie mobile et objets connectés sont conçues pour permettre aux personnes âgées de vivre en autonomie et en sécurité le plus longtemps possible.,Produit autonome,Produit,High Tech,Autonomie,International (Eu),Bénéficiaires,B2B2C,Pay to play,2021/01/01,,71.12B,PME,Société par actions simplifiée,BATIMENT CAMARGUE - ENTREE 4 48 RUE CLAUDE BALBASTRE 34070 MONTPELLIER,34,France,No,https://www.binom-mobile.com
AXYN Robotique,804646347,"Développement de robots de téléprésence permettant de maintenir le lien social et d’assister les aidants, offrant mobilité et autonomie pour interagir à distance.",Produit autonome,Produit,High Tech,Autonomie,National,Bénéficiaires,B2C,Loyer,2014/09/05,2024/12/06,71.12B,PME,Société par actions simplifiée,YVON MORANDAT HOTEL D ENTREPRISES 1480 AVENUE D’ARMENIE 13120 GARDANNE,13,France,No,https://www.axyn.fr/robots-pour-les-seniors/
WiiCare,878198803,"Une solution de capteurs intelligents détecte les chutes et les changements de comportement des personnes âgées dépendantes sans nécessiter d'équipement porté, améliorant ainsi leur sécurité et la réactivité des aidants.",Produit autonome,Produit,High Tech,Autonomie,National,Entreprises,B2B,Abonnement,2019/09/10,,74.90B,PME,Société par actions simplifiée,9 RUE RENE CLAIR 95310 SAINT-OUEN-L'AUMONE,95,France,No,https://www.wiicare.fr/
